Running 30s test @ http://localhost:8080/api/v1/books/hello
  4 threads and 256 connections
  Thread calibration: mean lat.: 2.861ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.724ms, rate sampling interval: 11ms
  Thread calibration: mean lat.: 2.944ms, rate sampling interval: 11ms
  Thread calibration: mean lat.: 2.743ms, rate sampling interval: 11ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency     3.21ms    5.79ms 171.39ms   94.18%
    Req/Sec     5.30k     1.82k   25.80k    77.92%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%    1.74ms
 75.000%    3.28ms
 90.000%    6.54ms
 99.000%   23.95ms
 99.900%   73.41ms
 99.990%  142.21ms
 99.999%  168.83ms
100.000%  171.52ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

       0.094     0.000000            1         1.00
       0.673     0.100000        39333         1.11
       0.938     0.200000        78491         1.25
       1.180     0.300000       117729         1.43
       1.438     0.400000       157019         1.67
       1.743     0.500000       196249         2.00
       1.925     0.550000       215895         2.22
       2.135     0.600000       235527         2.50
       2.407     0.650000       255160         2.86
       2.779     0.700000       274766         3.33
       3.277     0.750000       294345         4.00
       3.591     0.775000       304139         4.44
       3.967     0.800000       313988         5.00
       4.415     0.825000       323789         5.71
       4.955     0.850000       333576         6.67
       5.639     0.875000       343405         8.00
       6.055     0.887500       348305         8.89
       6.543     0.900000       353198        10.00
       7.103     0.912500       358085        11.43
       7.783     0.925000       363012        13.33
       8.663     0.937500       367912        16.00
       9.175     0.943750       370375        17.78
       9.815     0.950000       372802        20.00
      10.543     0.956250       375276        22.86
      11.447     0.962500       377721        26.67
      12.527     0.968750       380158        32.00
      13.327     0.971875       381392        35.56
      14.215     0.975000       382614        40.00
      15.215     0.978125       383842        45.71
      16.447     0.981250       385072        53.33
      18.079     0.984375       386291        64.00
      19.087     0.985938       386909        71.11
      20.607     0.987500       387520        80.00
      22.383     0.989062       388129        91.43
      25.183     0.990625       388744       106.67
      28.655     0.992188       389358       128.00
      31.311     0.992969       389666       142.22
      33.919     0.993750       389972       160.00
      37.279     0.994531       390277       182.86
      40.703     0.995313       390582       213.33
      44.447     0.996094       390891       256.00
      47.327     0.996484       391042       284.44
      49.791     0.996875       391196       320.00
      51.455     0.997266       391348       365.71
      54.239     0.997656       391503       426.67
      57.791     0.998047       391656       512.00
      59.743     0.998242       391732       568.89
      62.431     0.998437       391808       640.00
      64.991     0.998633       391886       731.43
      68.159     0.998828       391962       853.33
      73.855     0.999023       392040      1024.00
      76.543     0.999121       392077      1137.78
      80.063     0.999219       392115      1280.00
      86.271     0.999316       392153      1462.86
      89.919     0.999414       392193      1706.67
      99.583     0.999512       392230      2048.00
     107.071     0.999561       392250      2275.56
     109.887     0.999609       392268      2560.00
     114.495     0.999658       392287      2925.71
     117.183     0.999707       392307      3413.33
     123.263     0.999756       392326      4096.00
     128.191     0.999780       392336      4551.11
     131.967     0.999805       392346      5120.00
     133.887     0.999829       392354      5851.43
     136.831     0.999854       392364      6826.67
     139.391     0.999878       392374      8192.00
     140.415     0.999890       392378      9102.22
     142.591     0.999902       392384     10240.00
     145.407     0.999915       392388     11702.86
     147.071     0.999927       392393     13653.33
     148.351     0.999939       392398     16384.00
     149.503     0.999945       392400     18204.44
     151.167     0.999951       392402     20480.00
     153.983     0.999957       392405     23405.71
     160.511     0.999963       392407     27306.67
     163.071     0.999969       392410     32768.00
     163.967     0.999973       392411     36408.89
     165.759     0.999976       392412     40960.00
     166.143     0.999979       392413     46811.43
     167.039     0.999982       392414     54613.33
     168.575     0.999985       392416     65536.00
     168.575     0.999986       392416     72817.78
     168.831     0.999988       392418     81920.00
     168.831     0.999989       392418     93622.86
     168.831     0.999991       392418    109226.67
     169.727     0.999992       392419    131072.00
     169.727     0.999993       392419    145635.56
     169.727     0.999994       392419    163840.00
     169.727     0.999995       392419    187245.71
     171.263     0.999995       392420    218453.33
     171.263     0.999996       392420    262144.00
     171.263     0.999997       392420    291271.11
     171.263     0.999997       392420    327680.00
     171.263     0.999997       392420    374491.43
     171.519     0.999998       392421    436906.67
     171.519     1.000000       392421          inf
#[Mean    =        3.209, StdDeviation   =        5.793]
#[Max     =      171.392, Total count    =       392421]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  583062 requests in 30.01s, 56.72MB read
Requests/sec:  19426.55
Transfer/sec:      1.89MB
