Running 30s test @ http://localhost:8080/api/v1/books/hello
  4 threads and 256 connections
  Thread calibration: mean lat.: 11.502ms, rate sampling interval: 20ms
  Thread calibration: mean lat.: 8.761ms, rate sampling interval: 18ms
  Thread calibration: mean lat.: 8.267ms, rate sampling interval: 18ms
  Thread calibration: mean lat.: 11.437ms, rate sampling interval: 14ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency     8.04ms   29.48ms 449.54ms   96.86%
    Req/Sec    10.47k     2.45k   28.39k    79.39%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%    2.16ms
 75.000%    4.70ms
 90.000%   11.23ms
 99.000%  148.22ms
 99.900%  372.48ms
 99.990%  413.95ms
 99.999%  439.04ms
100.000%  449.79ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

       0.072     0.000000            1         1.00
       0.746     0.100000        79409         1.11
       1.059     0.200000       158523         1.25
       1.357     0.300000       237737         1.43
       1.706     0.400000       316950         1.67
       2.157     0.500000       396293         2.00
       2.449     0.550000       435844         2.22
       2.815     0.600000       475458         2.50
       3.285     0.650000       514967         2.86
       3.889     0.700000       554629         3.33
       4.695     0.750000       594216         4.00
       5.199     0.775000       614046         4.44
       5.823     0.800000       633865         5.00
       6.631     0.825000       653660         5.71
       7.731     0.850000       673415         6.67
       9.183     0.875000       693223         8.00
      10.087     0.887500       703167         8.89
      11.231     0.900000       713033        10.00
      12.703     0.912500       722920        11.43
      14.711     0.925000       732812        13.33
      17.423     0.937500       742743        16.00
      19.343     0.943750       747710        17.78
      21.807     0.950000       752615        20.00
      25.007     0.956250       757565        22.86
      29.823     0.962500       762518        26.67
      37.791     0.968750       767476        32.00
      43.711     0.971875       769956        35.56
      51.007     0.975000       772418        40.00
      62.175     0.978125       774896        45.71
      82.239     0.981250       777369        53.33
     105.471     0.984375       779855        64.00
     114.687     0.985938       781087        71.11
     126.911     0.987500       782323        80.00
     137.471     0.989062       783564        91.43
     163.711     0.990625       784798       106.67
     198.911     0.992188       786036       128.00
     219.007     0.992969       786655       142.22
     232.063     0.993750       787273       160.00
     245.759     0.994531       787891       182.86
     258.943     0.995313       788510       213.33
     275.455     0.996094       789136       256.00
     287.743     0.996484       789440       284.44
     296.447     0.996875       789750       320.00
     303.871     0.997266       790060       365.71
     316.415     0.997656       790367       426.67
     329.983     0.998047       790676       512.00
     343.551     0.998242       790832       568.89
     351.999     0.998437       790991       640.00
     357.375     0.998633       791147       731.43
     363.263     0.998828       791295       853.33
     372.991     0.999023       791449      1024.00
     375.807     0.999121       791526      1137.78
     378.367     0.999219       791608      1280.00
     381.183     0.999316       791685      1462.86
     384.767     0.999414       791759      1706.67
     392.191     0.999512       791838      2048.00
     394.751     0.999561       791875      2275.56
     396.799     0.999609       791914      2560.00
     398.335     0.999658       791953      2925.71
     400.127     0.999707       791991      3413.33
     402.175     0.999756       792035      4096.00
     402.943     0.999780       792049      4551.11
     404.735     0.999805       792068      5120.00
     406.783     0.999829       792089      5851.43
     408.063     0.999854       792106      6826.67
     411.391     0.999878       792126      8192.00
     412.415     0.999890       792137      9102.22
     415.487     0.999902       792145     10240.00
     417.535     0.999915       792157     11702.86
     419.839     0.999927       792164     13653.33
     422.399     0.999939       792174     16384.00
     423.935     0.999945       792179     18204.44
     426.495     0.999951       792185     20480.00
     427.263     0.999957       792189     23405.71
     428.799     0.999963       792193     27306.67
     431.359     0.999969       792198     32768.00
     432.127     0.999973       792201     36408.89
     433.663     0.999976       792203     40960.00
     434.687     0.999979       792206     46811.43
     436.223     0.999982       792208     54613.33
     438.015     0.999985       792210     65536.00
     438.527     0.999986       792212     72817.78
     438.783     0.999988       792213     81920.00
     439.039     0.999989       792214     93622.86
     440.319     0.999991       792215    109226.67
     442.623     0.999992       792216    131072.00
     443.391     0.999993       792217    145635.56
     443.647     0.999994       792219    163840.00
     443.647     0.999995       792219    187245.71
     443.647     0.999995       792219    218453.33
     443.647     0.999996       792219    262144.00
     444.671     0.999997       792220    291271.11
     444.671     0.999997       792220    327680.00
     444.671     0.999997       792220    374491.43
     448.255     0.999998       792221    436906.67
     448.255     0.999998       792221    524288.00
     448.255     0.999998       792221    582542.22
     448.255     0.999998       792221    655360.00
     448.255     0.999999       792221    748982.86
     449.791     0.999999       792222    873813.33
     449.791     1.000000       792222          inf
#[Mean    =        8.044, StdDeviation   =       29.483]
#[Max     =      449.536, Total count    =       792222]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  1176831 requests in 30.00s, 114.48MB read
Requests/sec:  39224.86
Transfer/sec:      3.82MB
